流水號,year,id,city,household_dog,stray_dog
189,2015,City000013,嘉義市,20895.0,3535.0
188,2015,City000006,新竹市,39243.0,1862.0
187,2015,City000001,基隆市,27833.0,404.0
185,2015,City000018,花蓮縣,35741.0,4807.0
184,2015,City000017,臺東縣,24599.0,3229.0
183,2015,City000016,屏東縣,66672.0,4625.0
182,2015,City000012,嘉義縣,37852.0,6811.0
181,2015,City000011,雲林縣,59560.0,9163.0
180,2015,City000008,南投縣,45467.0,2819.0
179,2015,City000010,彰化縣,91692.0,7100.0
178,2015,City000007,苗栗縣,47727.0,2435.0
177,2015,City000005,新竹縣,46403.0,2318.0
176,2015,City000019,宜蘭縣,34766.0,6626.0
175,2015,City000015,高雄市,222177.0,15220.0
174,2015,City000014,臺南市,136151.0,24596.0
173,2015,City000009,臺中市,183592.0,15028.0
172,2015,City000004,桃園市,176672.0,8960.0
171,2015,City000002,臺北市,148096.0,2931.0
170,2015,City000003,新北市,269100.0,4295.0
125,2009,City000021,金門縣,3596.0,87.0
123,2009,City000015,高雄市,46835.0,3992.0
122,2009,City000002,臺北市,149164.0,3192.0
121,2009,City000014,臺南市,32792.0,673.0
120,2009,City000013,嘉義市,11460.0,573.0
119,2009,City000009,臺中市,49310.0,3145.0
118,2009,City000006,新竹市,22855.0,2304.0
117,2009,City000001,基隆市,21765.0,626.0
116,2009,City000020,澎湖縣,3112.0,725.0
115,2009,City000018,花蓮縣,29429.0,2084.0
114,2009,City000017,臺東縣,20752.0,3130.0
113,2009,City000016,屏東縣,56873.0,1783.0
112,2009,City000015,高雄縣,72156.0,5513.0
111,2009,City000014,臺南縣,52032.0,5197.0
110,2009,City000012,嘉義縣,34442.0,3579.0
109,2009,City000011,雲林縣,40412.0,8646.0
108,2009,City000008,南投縣,42882.0,1202.0
107,2009,City000010,彰化縣,71060.0,7130.0
106,2009,City000009,臺中縣,75828.0,6029.0
105,2009,City000007,苗栗縣,40646.0,6543.0
104,2009,City000005,新竹縣,47070.0,5210.0
103,2009,City000004,桃園縣,107624.0,4020.0
102,2009,City000019,宜蘭縣,13352.0,4006.0
101,2009,City000003,臺北縣,193156.0,5060.0
25,2001,City000022,連江縣,373.0,95.0
24,2001,City000021,金門縣,4841.0,634.0
23,2001,City000015,高雄市,110547.0,6022.0
22,2001,City000002,臺北市,214995.0,4946.0
21,2001,City000014,臺南市,50443.0,2807.0
20,2001,City000013,嘉義市,19979.0,1191.0
19,2001,City000009,臺中市,64237.0,3113.0
18,2001,City000006,新竹市,35936.0,1688.0
17,2001,City000001,基隆市,27802.0,5229.0
16,2001,City000020,澎湖縣,3212.0,311.0
15,2001,City000018,花蓮縣,43168.0,4989.0
14,2001,City000017,臺東縣,32995.0,4036.0
13,2001,City000016,屏東縣,100802.0,8143.0
12,2001,City000015,高雄縣,91241.0,10906.0
11,2001,City000014,臺南縣,76569.0,5439.0
10,2001,City000012,嘉義縣,42612.0,2662.0
9,2001,City000011,雲林縣,66392.0,2819.0
8,2001,City000008,南投縣,39104.0,3730.0
7,2001,City000010,彰化縣,86792.0,12141.0
6,2001,City000009,臺中縣,157680.0,21849.0
5,2001,City000007,苗栗縣,36897.0,11302.0
4,2001,City000005,新竹縣,43337.0,4828.0
3,2001,City000004,桃園縣,133657.0,16187.0
2,2001,City000019,宜蘭縣,28223.0,8430.0
1,2001,City000003,臺北縣,278346.0,35960.0
