city,average_dog,English,average_cat
新北市,4.63,New Taipei City,5.16
臺北市,3.71,Taipei City,4.12
臺中市,4.03,Taichung City,4.3
臺南市,5.39,Tainan City,5.01
高雄市,4.96,Kaohsiung City,5.51
桃園市,4.75,Taoyuan,4.99
宜蘭縣,4.79,Yilan,5.11
新竹縣,5.27,Hsinchu,6.22
苗栗縣,4.38,Miaoli,5.35
彰化縣,6.21,Changhua,5.19
南投縣,7.33,Nantou,8.15
雲林縣,4.15,Yunlin,4.5
嘉義縣,5.64,Chiayi,5.38
屏東縣,6.7,Pingtung,6.28
臺東縣,3.42,Taitung,3.81
花蓮縣,3.51,Hualien,3.76
澎湖縣,3.48,Penghu,4.25
基隆市,4.82,Keelung City,8.41
新竹市,5.26,Hsinchu City,5.47
嘉義市,5.13,Chiayi City,5.7
金門縣,2.94,Kinmen,4.73
連江縣,3.14,Lienchiang,4.67
合計,4.69,,5.0
