city,registered,household,English_x,average_cat
新北市,11644,7577,New Taipei City,1.54
臺北市,7610,5302,Taipei City,1.44
臺中市,14253,8324,Taichung City,1.71
臺南市,6918,3982,Tainan City,1.74
高雄市,11169,5028,Kaohsiung City,2.22
桃園市,7481,4919,Taoyuan,1.52
宜蘭縣,1297,805,Yilan,1.61
新竹縣,1587,884,Hsinchu,1.8
苗栗縣,2266,1348,Miaoli,1.68
彰化縣,3702,2055,Changhua,1.8
南投縣,2838,1260,Nantou,2.25
雲林縣,3177,1781,Yunlin,1.78
嘉義縣,2242,1041,Chiayi,2.15
屏東縣,3527,1606,Pingtung,2.2
臺東縣,1287,714,Taitung,1.8
花蓮縣,1860,1019,Hualien,1.83
澎湖縣,274,155,Penghu,1.77
基隆市,1648,696,Keelung City,2.37
新竹市,1068,624,Hsinchu City,1.71
嘉義市,759,430,Chiayi City,1.77
金門縣,404,256,Kinmen,1.58
連江縣,49,34,Lienchiang,1.44
合計,87060,49840,,1.75
