city,registered,household,average_dog,English
新北市,13564,9850,1.38,New Taipei City
臺北市,7870,6083,1.29,Taipei City
臺中市,12618,8229,1.53,Taichung City
臺南市,9964,5214,1.91,Tainan City
高雄市,13474,7798,1.73,Kaohsiung City
桃園市,9623,6846,1.41,Taoyuan
宜蘭縣,1568,1086,1.44,Yilan
新竹縣,2118,1346,1.57,Hsinchu
苗栗縣,4383,2700,1.62,Miaoli
彰化縣,4691,2580,1.82,Changhua
南投縣,3215,1630,1.97,Nantou
雲林縣,3719,2336,1.59,Yunlin
嘉義縣,2540,1340,1.9,Chiayi
屏東縣,4600,2357,1.95,Pingtung
臺東縣,2370,1577,1.5,Taitung
花蓮縣,2530,1591,1.59,Hualien
澎湖縣,545,303,1.8,Penghu
基隆市,1254,919,1.36,Keelung City
新竹市,1406,932,1.51,Hsinchu City
嘉義市,759,494,1.54,Chiayi City
金門縣,585,391,1.5,Kinmen
連江縣,47,35,1.34,Lienchiang
合計,103443,65637,1.58,
