流水號,年度,縣市代碼,縣市名,家犬總估計數,遊蕩犬總估計數
189,104,City000013,嘉義市,20895.0,3535.0
188,104,City000006,新竹市,39243.0,1862.0
187,104,City000001,基隆市,27833.0,404.0
185,104,City000018,花蓮縣,35741.0,4807.0
184,104,City000017,臺東縣,24599.0,3229.0
183,104,City000016,屏東縣,66672.0,4625.0
182,104,City000012,嘉義縣,37852.0,6811.0
181,104,City000011,雲林縣,59560.0,9163.0
180,104,City000008,南投縣,45467.0,2819.0
179,104,City000010,彰化縣,91692.0,7100.0
178,104,City000007,苗栗縣,47727.0,2435.0
177,104,City000005,新竹縣,46403.0,2318.0
176,104,City000019,宜蘭縣,34766.0,6626.0
175,104,City000015,高雄市,222177.0,15220.0
174,104,City000014,臺南市,136151.0,24596.0
173,104,City000009,臺中市,183592.0,15028.0
172,104,City000004,桃園市,176672.0,8960.0
171,104,City000002,臺北市,148096.0,2931.0
170,104,City000003,新北市,269100.0,4295.0
125,98,City000021,金門縣,3596.0,87.0
123,98,City000015,高雄市,46835.0,3992.0
122,98,City000002,臺北市,149164.0,3192.0
121,98,City000014,臺南市,32792.0,673.0
120,98,City000013,嘉義市,11460.0,573.0
119,98,City000009,臺中市,49310.0,3145.0
118,98,City000006,新竹市,22855.0,2304.0
117,98,City000001,基隆市,21765.0,626.0
116,98,City000020,澎湖縣,3112.0,725.0
115,98,City000018,花蓮縣,29429.0,2084.0
114,98,City000017,臺東縣,20752.0,3130.0
113,98,City000016,屏東縣,56873.0,1783.0
112,98,City000015,高雄縣,72156.0,5513.0
111,98,City000014,臺南縣,52032.0,5197.0
110,98,City000012,嘉義縣,34442.0,3579.0
109,98,City000011,雲林縣,40412.0,8646.0
108,98,City000008,南投縣,42882.0,1202.0
107,98,City000010,彰化縣,71060.0,7130.0
106,98,City000009,臺中縣,75828.0,6029.0
105,98,City000007,苗栗縣,40646.0,6543.0
104,98,City000005,新竹縣,47070.0,5210.0
103,98,City000004,桃園縣,107624.0,4020.0
102,98,City000019,宜蘭縣,13352.0,4006.0
101,98,City000003,臺北縣,193156.0,5060.0
25,90,City000022,連江縣,373.0,95.0
24,90,City000021,金門縣,4841.0,634.0
23,90,City000015,高雄市,110547.0,6022.0
22,90,City000002,臺北市,214995.0,4946.0
21,90,City000014,臺南市,50443.0,2807.0
20,90,City000013,嘉義市,19979.0,1191.0
19,90,City000009,臺中市,64237.0,3113.0
18,90,City000006,新竹市,35936.0,1688.0
17,90,City000001,基隆市,27802.0,5229.0
16,90,City000020,澎湖縣,3212.0,311.0
15,90,City000018,花蓮縣,43168.0,4989.0
14,90,City000017,臺東縣,32995.0,4036.0
13,90,City000016,屏東縣,100802.0,8143.0
12,90,City000015,高雄縣,91241.0,10906.0
11,90,City000014,臺南縣,76569.0,5439.0
10,90,City000012,嘉義縣,42612.0,2662.0
9,90,City000011,雲林縣,66392.0,2819.0
8,90,City000008,南投縣,39104.0,3730.0
7,90,City000010,彰化縣,86792.0,12141.0
6,90,City000009,臺中縣,157680.0,21849.0
5,90,City000007,苗栗縣,36897.0,11302.0
4,90,City000005,新竹縣,43337.0,4828.0
3,90,City000004,桃園縣,133657.0,16187.0
2,90,City000019,宜蘭縣,28223.0,8430.0
1,90,City000003,臺北縣,278346.0,35960.0
